SLC,Eng,Math,Physics,Chemistry,Plus_Two,Eng1,Math2,Phy_Acc,Che_Eco,Mixed,GPA,GPAM,GPAA,School_From,Parent_Education,Pass
2.8,2,1.6,2,1.6,2.4,34,33,34,29,25,0,0,F,Private,Bachelor,0
3.08,1.6,1.6,2,1.6,2.4,28,35,37,43,36,1.8,60,C,Private,PlusTwo,1
3.55,2,1.6,2,1.6,2.81,40,39,40,35,45,3.26,80,B+,Private,Bachelor,1
2.7,2,1.6,1.6,1.6,2.86,32,37,40,42,25,0,0,F,Govt,SLC,0
2.8,2,2,1.6,2,2.4,43,42,44,48,41,0,0,F,Govt,SLC,0
2.9,1.6,1.6,2,1.6,2.17,0,0,0,0,0,0,0,F,Private,SLC,0
2.9,1.6,2,2,2,2.97,38,39,41,40,41,0,0,F,Govt,SLC,0
2.3,1.6,1.6,2,1.6,2.41,34,36,41,33,31,0,0,F,Private,SLC,0
2.8,2,2,1.6,2,2.88,40,39,42,39,40,2.68,70,B-,Private,SLC,1
3.08,1.6,2,1.6,2,2.88,42,41,41,40,47,1.7,55,C-,Private,SLC,1
3.1,2,1.6,2,1.6,2.4,26,41,42,42,30,0,0,F,Govt,SLC,0
3.16,2,1.6,2,1.6,2.4,0,0,0,0,0,0,0,F,Private,Bachelor,0
2.45,1.6,2,1.6,2,1.98,30,40,40,43,31,0,0,F,Private,PlusTwo,0
3.45,2,2,1.6,2,2.8,35,35,25,28,30,1.7,55,C-,Private,Bachelor,1
2.8,2,2,1.6,2,2.19,45,38,40,41,41,2.78,75,B,Govt,SLC,1
1.75,2,1.6,1.6,1.6,1.98,30,38,34,39,25,0,0,F,Govt,SLC,0
2.2,2,1.6,2,1.6,2.25,30,37,36,38,32,0,0,F,Govt,SLC,0
2.3,2,1.6,2,1.6,2.67,30,35,37,36,35,0,0,F,Private,SLC,0
3,2,2,2.8,2,3.01,45,40,42,47,45,3,75,B,Govt,SLC,1
3.2,2,2,2.8,2,3.16,46,42,43,46,38,3.56,85,A-,Govt,SLC,1
2.85,2,1.6,2.4,1.6,2.51,43,40,40,46,40,1.71,60,C,Govt,SLC,1
2.88,2,2,1.6,2,2.82,32,40,35,35,42,0,0,F,Private,SLC,0
2.7,2,2,1.6,2,2.23,40,41,42,40,43,0,0,F,Private,SLC,0
2.55,1.6,2,1.6,2,1.95,38,32,39,39,40,0,0,F,Private,SLC,0
3.05,2,2,2,2,2.54,32,34,34,28,25,1.7,55,C-,Private,Bachelor,1
3.2,2,2.4,2,2.4,2.8,42,35,40,35,23,0,0,F,Private,PlusTwo,0
2.75,2,2.4,2,2.4,2.68,30,39,36,41,37,0,0,F,Private,Bachelor,0
3.3,2,2,2,2,2.12,30,25,38,28,40,1.7,55,C-,Govt,SLC,1
2.2,2,2,2.4,2,2.24,32,39,41,38,38,0,0,F,Govt,SLC,0
2.4,2,2,2,2,2.53,38,36,40,34,33,0,0,F,Private,SLC,0
2,2,2,2,2,2.4,40,39,40,41,38,0,0,F,Govt,SLC,0
1.9,2,2,2.4,2,2.06,41,38,35,37,35,0,0,F,Govt,SLC,0
3.05,2,2,2,2,2.19,27,38,36,36,40,1.9,60,C,Private,SLC,1
2.4,2,2,2.4,2,2.8,35,25,40,28,41,0,0,F,Private,SLC,0
3.2,2.8,2,2.4,2,2.4,40,39,37,46,45,3.62,85,A-,Private,SLC,1
3.1,2,2.4,2,2.4,2.61,26,25,39,31,23,0,0,F,Private,Bachelor,0
2.35,2,1.6,1.6,1.6,2.51,25,41,39,30,40,0,0,F,Private,PlusTwo,0
3.15,2,1.6,2,1.6,2.73,47,45,43,47,49,4,90,A,Private,Bachelor,1
1.85,2,1.6,2,1.6,2.36,35,39,38,35,31,0,0,F,Govt,SLC,0
2.45,2.4,2,2,2,2.31,36,37,32,24,25,0,0,F,Govt,SLC,0
2.8,2,2,2.8,2,2,34,40,36,35,42,2.14,65,C+,Govt,SLC,1
2.7,2,2.8,2,2.8,3,39,41,37,39,40,2.26,65,C+,Private,SLC,1
2.7,2,2,2,2,2.4,45,42,36,38,44,2.34,70,B-,Govt,SLC,1
2.5,2,2.8,2,2.8,3.03,40,42,36,40,40,2.32,70,B-,Private,SLC,1
2.85,2,2,2.8,2,2.8,46,45,45,46,44,3.3,80,B+,Private,SLC,1
3.4,2.8,2.4,2,2.4,3.1,44,42,42,42,46,2.8,75,B,Private,SLC,1
