Faculty,Program,SLC,Eng,Math,Physics,Chemistry,Plus_Two,Eng1,Math2,Phy_Acc,Che_Eco,Mixed,School_From_Govt,School_From_Private,Parent_Education_Bachelor,Parent_Education_Master,Parent_Education_PHD,Parent_Education_PlusTwo,Parent_Education_SLC,GPAA,Pass,GPAM,GPA
Engineering,BE.Software Eng,-0.778301592,1.166341777,0.381604629,-0.120898481,-0.827738186,-0.059668495,-0.726937881,0.558389187,0.84626101,0.18136765,0.553626994,0,1,0,0,0,0,1,F,0,0,0
Engineering,BE.Software Eng,0.584410699,-0.39831672,-1.529105874,0.561314375,-0.827738186,0.455058006,-1.401152378,-0.809212301,0.235561616,0.18136765,-0.697577051,0,1,1,0,0,0,0,F,0,0,0
Engineering,BE.Software Eng,0.890325703,-0.39831672,0.381604629,-0.803111337,-0.827738186,-0.249304574,-0.726937881,1.105429782,1.151610707,0.461394575,1.304349421,0,1,0,1,0,0,0,B-,1,70,2.31
Engineering,BE.Software Eng,-0.083040219,-0.39831672,-0.255298872,-0.803111337,1.134001315,0.129967584,0.621491113,0.558389187,0.540911313,0.041354187,1.304349421,0,1,1,0,0,0,0,A-,1,85,3.46
Engineering,BE.Software Eng,0.056012055,0.384012528,0.381604629,1.243527231,1.134001315,1.267784059,-1.131466579,-1.629773193,0.388236465,0.881434962,-1.448299478,0,1,0,0,0,1,0,F,0,0,0
Engineering,BE.Software Eng,0.473168879,1.166341777,0.381604629,-0.803111337,-0.173825019,0.129967584,-0.457252082,0.011348592,0.388236465,0.881434962,0.053145376,0,1,1,0,0,0,0,B-,1,70,2.69
Engineering,BE.Software Eng,0.918136158,1.166341777,-0.255298872,-0.120898481,0.480088148,1.349056665,0.082119515,0.695149336,0.540911313,0.461394575,0.678747398,0,1,0,1,0,0,0,A-,1,85,3.31
Engineering,BE.Software Eng,0.751273429,0.384012528,-0.255298872,1.243527231,-0.173825019,0.319603663,-2.479895573,0.695149336,0.388236465,0.041354187,0.678747398,0,1,1,0,0,0,0,B-,1,70,2.35
Engineering,BE.Software Eng,-0.778301592,0.384012528,1.018508131,0.561314375,-0.827738186,2.080510113,-2.075366875,-0.672452152,0.540911313,0.881434962,-0.572456647,0,1,0,0,0,0,1,F,0,0,0
Engineering,BE.Software Eng,-0.083040219,-0.39831672,1.655411632,1.243527231,-0.173825019,0.888511901,0.216962415,0.968669633,0.998935859,0.881434962,1.304349421,1,0,0,0,0,1,0,C+,1,65,2.3
Engineering,BE.Software Eng,1.168430253,-0.39831672,1.018508131,-0.803111337,-0.827738186,0.129967584,-0.322409183,0.558389187,0.540911313,0.881434962,0.553626994,0,1,0,0,0,1,0,F,0,0,0
Engineering,BE.Software Eng,1.029377978,-0.39831672,-0.255298872,-0.120898481,-0.173825019,0.129967584,0.891176912,0.558389187,0.84626101,0.881434962,0.553626994,0,1,0,0,0,0,1,B+,1,80,3.02
Engineering,BE.Civil Eng,0.000391146,1.166341777,-0.255298872,0.561314375,-0.173825019,1.457420138,0.486648214,0.421629038,0.540911313,0.881434962,0.428506589,1,0,1,0,0,0,0,A-,1,85,3.59
Engineering,BE.Civil Eng,1.446534802,1.166341777,1.655411632,1.243527231,0.480088148,1.07814798,-0.187566283,0.148108741,0.540911313,0.461394575,0.17826578,0,1,1,0,0,0,0,F,0,0,0
Engineering,BE.Civil Eng,0.612221154,1.166341777,1.655411632,1.243527231,1.134001315,1.538692744,0.216962415,0.695149336,0.388236465,0.601408037,0.678747398,0,1,0,0,0,0,1,A-,1,85,3.66
Engineering,BE.Civil Eng,0.890325703,0.384012528,1.655411632,0.561314375,1.787914482,1.457420138,-0.187566283,-0.125411557,0.388236465,0.461394575,-0.071975029,0,1,0,1,0,0,0,B+,1,80,3.12
Engineering,BE.Civil Eng,-1.056406142,-0.39831672,-0.892202373,-1.485324193,-2.13556452,-1.603847997,-0.187566283,-0.809212301,0.693586162,0.461394575,-0.697577051,1,0,1,0,0,0,0,F,0,0,0
Engineering,BE.Civil Eng,0.334116605,-0.39831672,1.018508131,1.243527231,0.480088148,0.888511901,-0.187566283,-0.809212301,0.693586162,0.461394575,-0.697577051,1,0,0,0,0,1,0,B,1,75,2.93
Engineering,BE.Civil Eng,0.612221154,0.384012528,1.018508131,1.243527231,0.480088148,0.427967137,-0.187566283,0.421629038,0.388236465,0.881434962,0.428506589,1,0,0,0,0,1,0,B+,1,80,3.29
Engineering,BE.Civil Eng,0.751273429,-0.39831672,1.018508131,0.561314375,-0.173825019,0.698875822,-5.44643936,-5.459057359,-6.176782025,-5.699197773,-4.951670803,0,1,0,1,0,0,0,F,0,0,0
Engineering,BE.Civil Eng,-1.640425695,-0.39831672,0.381604629,-0.120898481,0.480088148,-0.655667601,-1.401152378,-0.809212301,0.082886767,0.321381112,-0.697577051,1,0,0,0,0,0,1,F,0,0,0
Engineering,BE.Civil Eng,1.168430253,0.384012528,1.655411632,1.243527231,1.134001315,1.836692297,1.026019811,1.378950079,0.84626101,1.161461887,1.304349421,0,1,0,0,0,0,1,A,1,90,4
Engineering,BE.Civil Eng,-0.361144768,-0.39831672,1.018508131,-0.803111337,-0.827738186,-0.249304574,-0.052723384,0.695149336,0.082886767,0.741421499,0.678747398,0,1,0,0,0,0,1,B+,1,80,3.22
Engineering,BE.Civil Eng,1.168430253,0.384012528,0.381604629,1.925740088,1.134001315,1.267784059,-0.457252082,0.421629038,0.235561616,0.321381112,0.428506589,0,1,0,0,0,1,0,B,1,75,2.87
Engineering,BE.Civil Eng,0.167253875,1.166341777,-1.529105874,-0.803111337,-0.827738186,1.403238401,-2.075366875,-1.903293491,0.388236465,0.18136765,-1.698540287,1,0,0,0,0,1,0,F,0,0,0
Engineering,BE.Civil Eng,0.334116605,-0.39831672,-0.255298872,-0.120898481,0.480088148,1.457420138,0.216962415,0.421629038,0.082886767,0.461394575,0.428506589,1,0,0,0,0,1,0,A-,1,85,3.55
Engineering,BE.Civil Eng,0.056012055,1.166341777,0.381604629,0.561314375,-0.173825019,2.270146192,-0.99662368,0.421629038,0.388236465,0.461394575,0.428506589,1,0,0,0,0,1,0,B,1,75,2.91
Engineering,BE.Civil Eng,1.307482527,0.384012528,-1.529105874,-0.803111337,-0.827738186,-0.655667601,0.351805314,0.968669633,-0.069788081,0.601408037,0.928988207,1,0,1,0,0,0,0,B+,1,80,3.28
Engineering,BE.Civil Eng,1.029377978,0.384012528,1.655411632,1.243527231,1.134001315,1.647056218,0.216962415,0.284868889,-0.069788081,0.461394575,0.303386185,0,1,0,0,0,1,0,B,1,75,2.86
Engineering,BE.Civil Eng,1.168430253,-0.39831672,1.018508131,0.561314375,1.134001315,1.538692744,0.082119515,-0.125411557,0.082886767,0.461394575,-0.071975029,1,0,0,0,0,0,1,F,0,0,0
Engineering,BE.Civil Eng,0.334116605,1.166341777,0.381604629,-0.803111337,-0.173825019,0.996875375,-2.075366875,-2.04005364,0.388236465,0.18136765,-1.823660691,1,0,1,0,0,0,0,F,0,0,0
Engineering,BE.Civil Eng,1.029377978,1.166341777,1.018508131,0.561314375,0.480088148,0.563421479,-0.052723384,0.148108741,0.235561616,0.601408037,0.17826578,0,1,0,1,0,0,0,B,1,75,2.81
Engineering,BE.Civil Eng,0.473168879,0.384012528,-0.255298872,1.925740088,1.787914482,1.213602322,-0.99662368,-2.04005364,0.082886767,0.461394575,-1.823660691,1,0,1,0,0,0,0,F,0,0,0
Engineering,BE.Civil Eng,0.473168879,0.384012528,1.018508131,1.925740088,1.134001315,1.457420138,0.756334012,1.242189931,0.84626101,0.601408037,1.179229016,1,0,0,0,0,1,0,C,1,60,2
Engineering,BE.Civil Eng,-0.778301592,-0.39831672,1.018508131,-0.120898481,-0.173825019,0.238331058,-0.99662368,0.148108741,0.388236465,0.461394575,0.17826578,1,0,0,0,0,0,1,F,0,0,0
Engineering,BE.Civil Eng,1.168430253,0.384012528,1.655411632,1.925740088,1.787914482,2.026328376,1.160862711,1.242189931,0.388236465,0.601408037,1.179229016,0,1,1,0,0,0,0,A,1,90,3.88
Engineering,BE.Civil Eng,-1.056406142,-0.39831672,-1.529105874,1.243527231,-0.173825019,0.455058006,-0.322409183,-0.125411557,0.082886767,0.321381112,-0.071975029,0,1,0,0,0,1,0,F,0,0,0
Engineering,BE.Civil Eng,1.168430253,0.384012528,1.655411632,1.925740088,1.787914482,1.836692297,-0.99662368,-0.125411557,0.235561616,0.321381112,-0.071975029,0,1,1,0,0,0,0,B-,1,70,2.65
Engineering,BE.Civil Eng,0.612221154,-0.39831672,-0.255298872,-0.120898481,0.480088148,-0.059668495,-0.187566283,0.831909484,0.540911313,0.461394575,0.803867803,1,0,0,0,0,1,0,A-,1,85,3.46
Engineering,BE.Civil Eng,0.056012055,-0.39831672,0.381604629,-0.120898481,1.134001315,-0.113850232,-0.052723384,0.695149336,0.540911313,0.461394575,0.678747398,0,1,0,0,0,1,0,A-,1,85,3.39
Engineering,BE.Civil Eng,1.307482527,0.384012528,1.018508131,1.925740088,1.787914482,1.457420138,0.756334012,1.105429782,0.84626101,0.601408037,1.054108612,0,1,0,0,0,0,1,A,1,90,3.84
Engineering,BE.Civil Eng,0.751273429,1.166341777,1.655411632,0.561314375,1.134001315,0.969784506,-0.052723384,0.831909484,0.235561616,0.741421499,0.803867803,1,0,0,0,0,1,0,A-,1,85,3.52
Engineering,BE.Civil Eng,-0.083040219,0.384012528,-1.529105874,-0.120898481,1.134001315,0.590512348,-0.322409183,0.011348592,0.84626101,0.601408037,0.053145376,1,0,1,0,0,0,0,B+,1,80,3.05
Engineering,BE.Civil Eng,0.612221154,-0.39831672,0.381604629,1.243527231,1.134001315,0.888511901,0.756334012,1.242189931,0.84626101,0.881434962,1.179229016,0,1,0,0,0,1,0,A,1,90,3.78
Engineering,BE.Civil Eng,0.473168879,0.384012528,0.381604629,1.243527231,-0.173825019,0.698875822,0.351805314,0.831909484,0.388236465,0.461394575,0.803867803,1,0,0,1,0,0,0,A-,1,85,3.65
Engineering,BE.Civil Eng,0.612221154,-0.39831672,-0.255298872,0.561314375,-0.173825019,0.129967584,-0.592094982,-0.672452152,0.082886767,0.041354187,-0.572456647,1,0,0,1,0,0,0,F,0,0,0
Engineering,BE.Civil Eng,0.473168879,1.166341777,0.381604629,0.561314375,-0.173825019,0.509239742,-0.322409183,0.011348592,0.235561616,0.461394575,0.053145376,0,1,0,0,0,0,1,F,0,0,0
Engineering,BE.Civil Eng,0.473168879,0.384012528,1.018508131,0.561314375,1.134001315,0.888511901,-0.86178078,-0.262171706,0.082886767,0.18136765,-0.197095433,0,1,0,0,0,0,1,F,0,0,0
Engineering,BE.Civil Eng,0.19506433,0.384012528,-0.255298872,-0.803111337,-0.827738186,-2.037301892,-0.592094982,-1.082732598,-0.069788081,0.321381112,-0.94781786,0,1,0,0,0,1,0,F,0,0,0
